"","ISO","year","Dummy_Earthquake","Dummy_Drought"
"443","GEO",2009,1,0
"444","IDN",2009,1,0
"445","IND",2009,0,1
"446","IRN",2009,1,0
"447","AFG",2010,1,0
"448","CHN",2010,1,0
"449","IDN",2010,1,0
"450","CHL",2010,1,0
"451","IDN",2010,1,0
"452","GRD",2010,0,1
"453","CHN",2010,0,1
"454","BDI",2010,0,1
"455","BOL",2010,0,1
"456","BRA",2010,0,1
"457","BRB",2010,0,1
"458","CHN",2010,1,0
"459","CHN",2010,1,0
"460","CHN",2010,1,0
"461","CHN",2010,1,0
"462","DJI",2010,0,1
"463","ETH",2010,0,1
"464","GUY",2010,0,1
"465","HTI",2010,1,0
"466","IRN",2010,1,0
"467","IRN",2010,1,0
"468","IRN",2010,1,0
"469","IRN",2010,1,0
"470","IRN",2010,1,0
"471","IRN",2010,1,0
"472","IDN",2011,1,0
"473","CHN",2011,1,0
"474","CHN",2011,1,0
"475","CHN",2011,1,0
"476","ESP",2011,1,0
"477","JPN",2011,1,0
"478","TON",2009,1,0
"479","KGZ",2009,0,1
"480","NER",2009,0,1
"481","NPL",2009,0,1
"482","TCD",2009,0,1
"483","MWI",2009,1,0
"484","MWI",2009,1,0
"485","PHL",2009,1,0
"486","PRY",2009,0,1
"487","SLV",2009,0,1
"488","VEN",2009,0,1
"489","SLB",2010,1,0
"490","RUS",2010,0,1
"491","TTO",2010,0,1
"492","LCA",2010,0,1
"493","MOZ",2010,0,1
"494","MRT",2010,0,1
"495","KEN",2010,0,1
"496","SOM",2010,0,1
"497","MEX",2010,1,0
"498","MLI",2010,0,1
"499","NZL",2010,1,0
"500","THA",2010,0,1
"501","TJK",2010,1,0
"502","TUR",2010,1,0
"503","TWN",2010,1,0
"504","UGA",2010,0,1
"505","USA",2010,1,0
"506","VCT",2010,0,1
"507","JPN",2011,1,0
"508","KGZ",2011,1,0
"509","MMR",2011,1,0
"510","NZL",2011,1,0
"511","PAK",2011,1,0
"512","THA",2011,1,0
"513","TJK",2011,1,0
"514","TUR",2011,1,0
"515","UZB",2011,1,0
"516","WSM",2009,1,0
"517","SSD",2009,0,1
"518","ZWE",2010,0,1
"519","SRB",2010,1,0
"520","CHN",2011,1,0
"521","IND",2011,1,0
"522","AFG",2011,0,1
"523","BFA",2011,0,1
"524","ETH",2011,0,1
"525","BTN",2011,1,0
"526","CHN",2011,1,0
"527","CHN",2011,1,0
"528","CHN",2011,1,0
"529","GTM",2011,1,0
"530","IDN",2011,1,0
"531","GMB",2012,0,1
"532","AFG",2012,1,0
"533","GTM",2012,0,1
"534","AGO",2012,0,1
"535","AZE",2012,1,0
"536","AZE",2012,1,0
"537","BGR",2012,1,0
"538","BRA",2012,0,1
"539","CHL",2012,1,0
"540","CHN",2012,1,0
"541","CHN",2012,1,0
"542","CHN",2012,1,0
"543","CHN",2012,1,0
"544","CHN",2012,1,0
"545","CHN",2012,1,0
"546","CMR",2012,0,1
"547","CRI",2012,1,0
"548","GTM",2012,1,0
"549","HND",2012,0,1
"550","IDN",2012,1,0
"551","IDN",2012,1,0
"552","CHN",2013,1,0
"553","CHN",2013,1,0
"554","IDN",2013,1,0
"555","AFG",2013,1,0
"556","BOL",2013,0,1
"557","CHN",2013,1,0
"558","CHN",2013,1,0
"559","CHN",2013,1,0
"560","CHN",2013,1,0
"561","CHN",2013,1,0
"562","CHN",2013,1,0
"563","CHN",2013,0,1
"564","COL",2013,1,0
"565","ECU",2013,0,1
"566","GTM",2013,1,0
"567","HUN",2013,1,0
"568","IDN",2013,1,0
"569","IDN",2013,1,0
"570","IND",2013,1,0
"571","NZL",2011,1,0
"572","KEN",2011,0,1
"573","LSO",2011,0,1
"574","MLI",2011,0,1
"575","MRT",2011,0,1
"576","NER",2011,0,1
"577","SDN",2011,0,1
"578","SEN",2011,0,1
"579","SOM",2011,0,1
"580","TZA",2011,0,1
"581","MEX",2011,1,0
"582","MEX",2011,0,1
"583","NPL",2011,1,0
"584","PER",2011,1,0
"585","PHL",2011,1,0
"586","THA",2011,0,1
"587","TUR",2011,1,0
"588","TUR",2011,1,0
"589","TUV",2011,0,1
"590","MMR",2012,1,0
"591","PHL",2012,1,0
"592","ITA",2012,0,1
"593","MWI",2012,0,1
"594","PRK",2012,0,1
"595","PRY",2012,0,1
"596","TCD",2012,0,1
"597","IRN",2012,1,0
"598","IRN",2012,1,0
"599","IRN",2012,1,0
"600","ITA",2012,1,0
"601","ITA",2012,1,0
"602","LKA",2012,0,1
"603","MDA",2012,0,1
"604","MEX",2012,1,0
"605","PER",2012,1,0
"606","PHL",2012,1,0
"607","PHL",2012,1,0
"608","RUS",2012,0,1
"609","THA",2012,0,1
"610","TJK",2012,1,0
"611","UKR",2012,0,1
"612","SLB",2013,1,0
"613","NAM",2013,0,1
"614","IRN",2013,1,0
"615","IRN",2013,1,0
"616","IRN",2013,1,0
"617","JPN",2013,1,0
"618","MHL",2013,0,1
"619","NZL",2013,1,0
"620","NZL",2013,0,1
"621","PAK",2013,1,0
"622","PAK",2013,1,0
"623","PAK",2013,1,0
"624","PAN",2013,0,1
"625","PER",2013,1,0
"626","PHL",2013,1,0
"627","PRY",2013,0,1
"628","TWN",2013,1,0
"629","TWN",2013,1,0
"630","USA",2011,0,1
"631","USA",2012,0,1
"632","USA",2012,0,1
"633","CHL",2014,1,0
"634","CHN",2014,1,0
"635","COM",2014,1,0
"636","ECU",2014,1,0
"637","BFA",2014,0,1
"638","HND",2014,0,1
"639","HTI",2014,0,1
"640","BOL",2014,0,1
"641","BRA",2014,0,1
"642","CHN",2014,1,0
"643","CHN",2014,1,0
"644","CHN",2014,1,0
"645","CHN",2014,1,0
"646","CHN",2014,1,0
"647","CHN",2014,1,0
"648","CHN",2014,1,0
"649","CHN",2014,0,1
"650","CHN",2014,0,1
"651","CRI",2014,0,1
"652","DZA",2014,1,0
"653","GRC",2014,1,0
"654","GRC",2014,1,0
"655","GTM",2014,1,0
"656","GTM",2014,0,1
"657","COL",2015,1,0
"658","CHL",2015,1,0
"659","COL",2015,0,1
"660","GMB",2015,0,1
"661","ETH",2015,0,1
"662","AFG",2015,1,0
"663","AFG",2015,1,0
"664","BGD",2015,1,0
"665","BWA",2015,0,1
"666","CHN",2015,1,0
"667","CHN",2015,1,0
"668","CHN",2015,1,0
"669","CHN",2015,1,0
"670","CHN",2015,1,0
"671","CHN",2015,0,1
"672","CUB",2015,0,1
"673","FJI",2015,0,1
"674","ECU",2016,1,0
"675","HTI",2016,0,1
"676","BGD",2016,1,0
